1.75,                      23.62071,10,0,
1.76,                      23.75552,10,0,
1.77,                      23.89034,10,0,
1.78,                      24.02515,10,0,
1.79,                      24.15996,10,0,
1.8,                      24.29476,10,0,
1.81,                      24.42957,10,0,
1.82,                      24.56437,10,0,
1.83,                      24.69918,10,0,
1.84,                      24.83398,10,0,
1.85,                      24.96878,10,0,
1.86,                      25.10357,10,0,
1.87,                      25.23837,10,0,
1.88,                      25.37316,10,0,
1.89,                      25.50795,10,0,
1.9,                      25.64274,10,0,
1.91,                      25.77753,10,0,
1.92,                      25.91232,10,0,
1.93,                       26.0471,10,0,
1.94,                      26.18188,10,0,
1.95,                      26.31666,10,0,
1.96,                      26.45144,10,0,
1.97,                      26.58622,10,0,
1.98,                      26.72099,10,0,
1.99,                      26.85577,10,0,
2,                      26.99054,10,0,
2.01,                      27.12531,10,0,
2.02,                      27.26007,10,0,
2.03,                      27.39484,10,0,
2.04,                       27.5296,10,0,
2.05,                      27.66437,10,0,
2.06,                      27.79913,10,0,
2.07,                      27.93389,10,0,
2.08,                      28.06864,10,0,
2.09,                       28.2034,10,0,
2.1,                      28.33815,10,0,
2.11,                       28.4729,10,0,
2.12,                      28.60765,10,0,
2.13,                       28.7424,10,0,
2.14,                      28.87714,10,0,
2.15,                      29.01189,10,0,
2.16,                      29.14663,10,0,
2.17,                      29.28137,10,0,
2.18,                      29.41611,10,0,
2.19,                      29.55085,10,0,
2.2,                      29.68558,10,0,
2.21,                      29.82031,10,0,
2.22,                      29.95504,10,0,
2.23,                      30.08977,10,0,
2.24,                       30.2245,10,0,
2.25,                      30.35923,10,0,
2.26,                      30.49395,10,0,
2.27,                      30.62867,10,0,
2.28,                      30.76339,10,0,
2.29,                      30.89811,10,0,
2.3,                      31.03283,10,0,
2.31,                      31.16754,10,0,
2.32,                      31.30226,10,0,
2.33,                      31.43697,10,0,
2.34,                      31.57168,10,0,
2.35,                      31.70639,10,0,
2.36,                      31.84109,10,0,
2.37,                       31.9758,10,0,
2.38,                       32.1105,10,0,
2.39,                       32.2452,10,0,
2.4,                       32.3799,10,0,
2.41,                      32.51459,10,0,
2.42,                      32.64929,10,0,
2.43,                      32.78398,10,0,
2.44,                      32.91867,10,0,
2.45,                      33.05336,10,0,
2.46,                      33.18805,10,0,
2.47,                      33.32273,10,0,
2.48,                      33.45742,10,0,
2.49,                       33.5921,10,0,
2.5,                      33.72678,10,0,
2.51,                      33.86146,10,0,
2.52,                      33.99614,10,0,
2.53,                      34.13081,10,0,
2.54,                      34.26548,10,0,
2.55,                      34.40015,10,0,
2.56,                      34.53482,10,0,
2.57,                      34.66949,10,0,
2.58,                      34.80416,10,0,
2.59,                      34.93882,10,0,
2.6,                      35.07348,10,0,
2.61,                      35.20814,10,0,
2.62,                       35.3428,10,0,
2.63,                      35.47746,10,0,
2.64,                      35.61211,10,0,
