0,                             0,                             0,                             0,                              ,3.225806,0,0.1,
0.01,                           0.2,                   0.006666667,                  -0.004846907,                              ,3.225806,0.009999833,0.1,
0.02,                     0.3974026,                    0.01333267,                  -0.008592296,                              ,3.225806,0.01999867,0.1,
0.03,                     0.5914254,                    0.01999712,                   -0.01150723,                              ,3.225806,0.0299955,0.1,
0.04,                     0.7813087,                    0.02665914,                   -0.01379453,                              ,3.225806,0.03998933,0.1,
0.05,                     0.9663222,                    0.03331784,                   -0.01560628,                              ,3.225806,0.04997917,0.1,
0.06,                       1.14577,                    0.03997233,                   -0.01705686,                              ,3.225806,0.05996401,0.1,
0.07,                      1.318998,                    0.04662175,                   -0.01823243,                              ,3.225806,0.06994285,0.1,
0.08,                      1.485395,                    0.05326521,                   -0.01919813,                              ,3.225806,0.07991469,0.1,
0.09,                        1.6444,                    0.05990183,                   -0.02000324,                              ,3.225806,0.08987855,0.1,
0.1,                      1.795507,                    0.06653074,                   -0.02068521,                              ,3.225806,0.09983342,0.1,
0.11,                      1.938265,                    0.07315108,                   -0.02127252,                              ,3.225806,0.1097783,0.1,
0.12,                      2.072282,                    0.07976197,                   -0.02178688,                              ,3.225806,0.1197122,0.1,
0.13,                      2.197229,                    0.08636257,                   -0.02224489,                              ,3.225806,0.1296341,0.1,
0.14,                      2.312837,                    0.09295201,                   -0.02265929,                              ,3.225806,0.1395431,0.1,
0.15,                        2.4189,                    0.09952943,                   -0.02303983,                              ,3.225806,0.1494381,0.1,
0.16,                      2.515277,                      0.106094,                   -0.02339404,                              ,3.225806,0.1593182,0.1,
0.17,                      2.601888,                     0.1126449,                    -0.0237277,                              ,3.225806,0.1691823,0.1,
0.18,                      2.678714,                     0.1191813,                   -0.02404531,                              ,3.225806,0.1790296,0.1,
0.19,                      2.745793,                     0.1257023,                   -0.02435032,                              ,3.225806,0.1888589,0.1,
0.2,                      2.803224,                     0.1322071,                   -0.02464542,                              ,3.225806,0.1986693,0.1,
0.21,                      2.851155,                     0.1386949,                    -0.0249327,                              ,3.225806,0.2084599,0.1,
0.22,                      2.889788,                      0.145165,                   -0.02521379,                              ,3.225806,0.2182296,0.1,
0.23,                      2.919369,                     0.1516165,                   -0.02548995,                              ,3.225806,0.2279775,0.1,
0.24,                      2.940189,                     0.1580486,                   -0.02576216,                              ,3.225806,0.2377026,0.1,
